2020-10-06 11:04:53,459 SSD INFO: Using 1 GPUs
2020-10-06 11:04:53,459 SSD INFO: Namespace(config_file='configs/vgg_ssd300_voc0712.yaml', distributed=False, eval_step=2500, local_rank=0, log_step=10, num_gpus=1, opts=[], save_step=2500, skip_test=False, use_tensorboard=True)
2020-10-06 11:04:53,459 SSD INFO: Loaded configuration file configs/vgg_ssd300_voc0712.yaml
2020-10-06 11:04:53,459 SSD INFO: 
MODEL:
  NUM_CLASSES: 6 #NUM_CLASSES: 21 **modify-ganyongdong-2020.10.5
INPUT:
  IMAGE_SIZE: 300
DATASETS:
  TRAIN: ("voc_2007_trainval", ) ## TRAIN: ("voc_2007_trainval", "voc_2012_trainval") **modify-ganyongdong-2020.10.5
  TEST: ("voc_2007_test", )
SOLVER:
  MAX_ITER: 60000
  LR_STEPS: [30000, 50000]
  GAMMA: 0.1
  BATCH_SIZE: 32
  LR: 5e-4

OUTPUT_DIR: 'outputs/vgg_ssd300_voc0712'

2020-10-06 11:04:53,459 SSD INFO: Running with config:
DATASETS:
  TEST: ('voc_2007_test',)
  TRAIN: ('voc_2007_trainval',)
DATA_LOADER:
  NUM_WORKERS: 8
  PIN_MEMORY: True
INPUT:
  IMAGE_SIZE: 300
  PIXEL_MEAN: [123, 117, 104]
MODEL:
  BACKBONE:
    NAME: vgg
    OUT_CHANNELS: (512, 1024, 512, 256, 256, 256)
    PRETRAINED: True
  BOX_HEAD:
    NAME: SSDBoxHead
    PREDICTOR: SSDBoxPredictor
  CENTER_VARIANCE: 0.1
  DEVICE: cuda
  META_ARCHITECTURE: SSDDetector
  NEG_POS_RATIO: 3
  NUM_CLASSES: 6
  PRIORS:
    ASPECT_RATIOS: [[2], [2, 3], [2, 3], [2, 3], [2], [2]]
    BOXES_PER_LOCATION: [4, 6, 6, 6, 4, 4]
    CLIP: True
    FEATURE_MAPS: [38, 19, 10, 5, 3, 1]
    MAX_SIZES: [60, 111, 162, 213, 264, 315]
    MIN_SIZES: [30, 60, 111, 162, 213, 264]
    STRIDES: [8, 16, 32, 64, 100, 300]
  SIZE_VARIANCE: 0.2
  THRESHOLD: 0.5
OUTPUT_DIR: outputs/vgg_ssd300_voc0712
SOLVER:
  BATCH_SIZE: 32
  GAMMA: 0.1
  LR: 0.0005
  LR_STEPS: [30000, 50000]
  MAX_ITER: 60000
  MOMENTUM: 0.9
  WARMUP_FACTOR: 0.3333333333333333
  WARMUP_ITERS: 500
  WEIGHT_DECAY: 0.0005
TEST:
  BATCH_SIZE: 10
  CONFIDENCE_THRESHOLD: 0.01
  MAX_PER_CLASS: -1
  MAX_PER_IMAGE: 100
  NMS_THRESHOLD: 0.45
2020-10-06 11:04:55,666 SSD.trainer INFO: No checkpoint found.
2020-10-06 11:04:55,672 SSD.trainer INFO: Start training ...
2020-10-06 11:05:09,567 SSD.trainer INFO: iter: 000010, lr: 0.00017, total_loss: 18.163 (18.163), reg_loss: 3.598 (3.598), cls_loss: 14.566 (14.566), time: 1.383 (1.383), eta: 23:02:40
2020-10-06 11:05:13,646 SSD.trainer INFO: iter: 000020, lr: 0.00018, total_loss: 12.389 (15.276), reg_loss: 3.178 (3.388), cls_loss: 9.212 (11.889), time: 0.408 (0.895), eta: 14:55:06
2020-10-06 11:05:17,714 SSD.trainer INFO: iter: 000030, lr: 0.00019, total_loss: 10.690 (13.748), reg_loss: 2.853 (3.209), cls_loss: 7.837 (10.538), time: 0.407 (0.733), eta: 12:12:10
2020-10-06 11:05:21,802 SSD.trainer INFO: iter: 000040, lr: 0.00019, total_loss: 9.958 (12.800), reg_loss: 2.675 (3.076), cls_loss: 7.284 (9.725), time: 0.409 (0.652), eta: 10:51:11
2020-10-06 11:05:25,911 SSD.trainer INFO: iter: 000050, lr: 0.00020, total_loss: 9.570 (12.154), reg_loss: 2.640 (2.988), cls_loss: 6.930 (9.166), time: 0.411 (0.603), eta: 10:02:58
2020-10-06 11:05:30,082 SSD.trainer INFO: iter: 000060, lr: 0.00021, total_loss: 9.178 (11.658), reg_loss: 2.705 (2.941), cls_loss: 6.473 (8.717), time: 0.417 (0.572), eta: 9:31:50
2020-10-06 11:05:37,154 SSD.trainer INFO: iter: 000070, lr: 0.00021, total_loss: 8.605 (11.222), reg_loss: 2.733 (2.911), cls_loss: 5.872 (8.311), time: 0.707 (0.592), eta: 9:50:58
2020-10-06 11:05:41,334 SSD.trainer INFO: iter: 000080, lr: 0.00022, total_loss: 8.220 (10.847), reg_loss: 2.623 (2.875), cls_loss: 5.597 (7.971), time: 0.418 (0.570), eta: 9:29:12
2020-10-06 11:05:45,499 SSD.trainer INFO: iter: 000090, lr: 0.00023, total_loss: 8.031 (10.534), reg_loss: 2.636 (2.849), cls_loss: 5.395 (7.685), time: 0.416 (0.553), eta: 9:12:04
2020-10-06 11:05:49,707 SSD.trainer INFO: iter: 000100, lr: 0.00023, total_loss: 7.661 (10.247), reg_loss: 2.677 (2.832), cls_loss: 4.983 (7.415), time: 0.421 (0.540), eta: 8:58:47
2020-10-06 11:05:53,943 SSD.trainer INFO: iter: 000110, lr: 0.00024, total_loss: 7.252 (9.974), reg_loss: 2.502 (2.802), cls_loss: 4.751 (7.173), time: 0.424 (0.529), eta: 8:48:10
2020-10-06 11:05:58,147 SSD.trainer INFO: iter: 000120, lr: 0.00025, total_loss: 6.980 (9.725), reg_loss: 2.510 (2.777), cls_loss: 4.470 (6.948), time: 0.420 (0.520), eta: 8:39:02
2020-10-06 11:06:02,164 SSD.trainer INFO: iter: 000130, lr: 0.00025, total_loss: 7.009 (9.516), reg_loss: 2.599 (2.764), cls_loss: 4.410 (6.752), time: 0.402 (0.511), eta: 8:29:52
2020-10-06 11:06:06,462 SSD.trainer INFO: iter: 000140, lr: 0.00026, total_loss: 6.847 (9.325), reg_loss: 2.529 (2.747), cls_loss: 4.318 (6.578), time: 0.430 (0.505), eta: 8:23:59
2020-10-06 11:06:10,711 SSD.trainer INFO: iter: 000150, lr: 0.00027, total_loss: 6.857 (9.161), reg_loss: 2.568 (2.735), cls_loss: 4.290 (6.426), time: 0.425 (0.500), eta: 8:18:34
2020-10-06 11:06:14,954 SSD.trainer INFO: iter: 000160, lr: 0.00027, total_loss: 6.821 (9.014), reg_loss: 2.565 (2.724), cls_loss: 4.256 (6.290), time: 0.424 (0.495), eta: 8:13:46
2020-10-06 11:06:19,191 SSD.trainer INFO: iter: 000170, lr: 0.00028, total_loss: 6.762 (8.882), reg_loss: 2.503 (2.711), cls_loss: 4.260 (6.171), time: 0.424 (0.491), eta: 8:09:30
2020-10-06 11:06:23,451 SSD.trainer INFO: iter: 000180, lr: 0.00029, total_loss: 6.788 (8.766), reg_loss: 2.494 (2.699), cls_loss: 4.294 (6.067), time: 0.426 (0.487), eta: 8:05:50
2020-10-06 11:06:27,452 SSD.trainer INFO: iter: 000190, lr: 0.00029, total_loss: 6.785 (8.661), reg_loss: 2.487 (2.688), cls_loss: 4.298 (5.974), time: 0.400 (0.483), eta: 8:01:10
2020-10-06 11:06:31,763 SSD.trainer INFO: iter: 000200, lr: 0.00030, total_loss: 6.763 (8.566), reg_loss: 2.491 (2.678), cls_loss: 4.272 (5.888), time: 0.431 (0.480), eta: 7:58:31
2020-10-06 11:06:35,986 SSD.trainer INFO: iter: 000210, lr: 0.00031, total_loss: 6.712 (8.478), reg_loss: 2.481 (2.669), cls_loss: 4.230 (5.809), time: 0.422 (0.477), eta: 7:55:42
2020-10-06 11:06:40,188 SSD.trainer INFO: iter: 000220, lr: 0.00031, total_loss: 6.834 (8.403), reg_loss: 2.506 (2.661), cls_loss: 4.328 (5.742), time: 0.420 (0.475), eta: 7:53:01
2020-10-06 11:06:44,438 SSD.trainer INFO: iter: 000230, lr: 0.00032, total_loss: 6.943 (8.340), reg_loss: 2.523 (2.655), cls_loss: 4.421 (5.685), time: 0.425 (0.473), eta: 7:50:47
2020-10-06 11:06:48,630 SSD.trainer INFO: iter: 000240, lr: 0.00033, total_loss: 6.543 (8.265), reg_loss: 2.433 (2.646), cls_loss: 4.110 (5.619), time: 0.419 (0.470), eta: 7:48:30
2020-10-06 11:06:52,865 SSD.trainer INFO: iter: 000250, lr: 0.00033, total_loss: 6.570 (8.197), reg_loss: 2.485 (2.640), cls_loss: 4.086 (5.558), time: 0.423 (0.469), eta: 7:46:33
2020-10-06 11:06:56,918 SSD.trainer INFO: iter: 000260, lr: 0.00034, total_loss: 6.483 (8.131), reg_loss: 2.410 (2.631), cls_loss: 4.073 (5.501), time: 0.405 (0.466), eta: 7:44:03
2020-10-06 11:07:01,150 SSD.trainer INFO: iter: 000270, lr: 0.00035, total_loss: 6.590 (8.074), reg_loss: 2.377 (2.621), cls_loss: 4.213 (5.453), time: 0.423 (0.464), eta: 7:42:23
2020-10-06 11:07:05,406 SSD.trainer INFO: iter: 000280, lr: 0.00035, total_loss: 6.502 (8.018), reg_loss: 2.426 (2.614), cls_loss: 4.075 (5.404), time: 0.426 (0.463), eta: 7:40:56
2020-10-06 11:07:09,675 SSD.trainer INFO: iter: 000290, lr: 0.00036, total_loss: 6.454 (7.964), reg_loss: 2.412 (2.607), cls_loss: 4.042 (5.357), time: 0.427 (0.462), eta: 7:39:37
2020-10-06 11:07:14,050 SSD.trainer INFO: iter: 000300, lr: 0.00037, total_loss: 6.573 (7.918), reg_loss: 2.406 (2.601), cls_loss: 4.166 (5.317), time: 0.438 (0.461), eta: 7:38:44
2020-10-06 11:07:18,371 SSD.trainer INFO: iter: 000310, lr: 0.00037, total_loss: 6.601 (7.875), reg_loss: 2.400 (2.594), cls_loss: 4.202 (5.281), time: 0.432 (0.460), eta: 7:37:43
2020-10-06 11:07:22,417 SSD.trainer INFO: iter: 000320, lr: 0.00038, total_loss: 6.346 (7.828), reg_loss: 2.316 (2.585), cls_loss: 4.030 (5.242), time: 0.405 (0.458), eta: 7:35:55
2020-10-06 11:07:26,630 SSD.trainer INFO: iter: 000330, lr: 0.00039, total_loss: 6.429 (7.785), reg_loss: 2.397 (2.580), cls_loss: 4.032 (5.205), time: 0.421 (0.457), eta: 7:34:44
2020-10-06 11:07:30,873 SSD.trainer INFO: iter: 000340, lr: 0.00039, total_loss: 6.496 (7.747), reg_loss: 2.326 (2.572), cls_loss: 4.171 (5.175), time: 0.424 (0.456), eta: 7:33:41
2020-10-06 11:07:35,096 SSD.trainer INFO: iter: 000350, lr: 0.00040, total_loss: 6.593 (7.714), reg_loss: 2.335 (2.565), cls_loss: 4.258 (5.149), time: 0.422 (0.455), eta: 7:32:39
2020-10-06 11:07:39,312 SSD.trainer INFO: iter: 000360, lr: 0.00041, total_loss: 6.532 (7.681), reg_loss: 2.346 (2.559), cls_loss: 4.186 (5.122), time: 0.422 (0.454), eta: 7:31:38
2020-10-06 11:07:43,547 SSD.trainer INFO: iter: 000370, lr: 0.00041, total_loss: 6.476 (7.649), reg_loss: 2.311 (2.553), cls_loss: 4.166 (5.096), time: 0.424 (0.454), eta: 7:30:44
2020-10-06 11:07:47,582 SSD.trainer INFO: iter: 000380, lr: 0.00042, total_loss: 6.535 (7.620), reg_loss: 2.378 (2.548), cls_loss: 4.156 (5.071), time: 0.403 (0.452), eta: 7:29:21
2020-10-06 11:07:51,838 SSD.trainer INFO: iter: 000390, lr: 0.00043, total_loss: 6.583 (7.593), reg_loss: 2.335 (2.543), cls_loss: 4.249 (5.050), time: 0.426 (0.452), eta: 7:28:36
2020-10-06 11:07:56,063 SSD.trainer INFO: iter: 000400, lr: 0.00043, total_loss: 6.623 (7.569), reg_loss: 2.292 (2.536), cls_loss: 4.331 (5.032), time: 0.423 (0.451), eta: 7:27:48
2020-10-06 11:08:00,283 SSD.trainer INFO: iter: 000410, lr: 0.00044, total_loss: 6.488 (7.542), reg_loss: 2.297 (2.531), cls_loss: 4.191 (5.012), time: 0.422 (0.450), eta: 7:27:02
2020-10-06 11:08:04,519 SSD.trainer INFO: iter: 000420, lr: 0.00045, total_loss: 6.176 (7.510), reg_loss: 2.278 (2.524), cls_loss: 3.899 (4.985), time: 0.424 (0.449), eta: 7:26:19
2020-10-06 11:08:08,754 SSD.trainer INFO: iter: 000430, lr: 0.00045, total_loss: 6.065 (7.476), reg_loss: 2.252 (2.518), cls_loss: 3.812 (4.958), time: 0.423 (0.449), eta: 7:25:39
2020-10-06 11:08:12,982 SSD.trainer INFO: iter: 000440, lr: 0.00046, total_loss: 6.186 (7.447), reg_loss: 2.239 (2.512), cls_loss: 3.947 (4.935), time: 0.423 (0.448), eta: 7:24:59
2020-10-06 11:08:17,021 SSD.trainer INFO: iter: 000450, lr: 0.00047, total_loss: 6.331 (7.422), reg_loss: 2.249 (2.506), cls_loss: 4.082 (4.916), time: 0.404 (0.447), eta: 7:23:56
2020-10-06 11:08:21,265 SSD.trainer INFO: iter: 000460, lr: 0.00047, total_loss: 6.231 (7.396), reg_loss: 2.258 (2.501), cls_loss: 3.973 (4.896), time: 0.424 (0.447), eta: 7:23:22
2020-10-06 11:08:25,510 SSD.trainer INFO: iter: 000470, lr: 0.00048, total_loss: 6.221 (7.371), reg_loss: 2.298 (2.496), cls_loss: 3.923 (4.875), time: 0.424 (0.446), eta: 7:22:49
2020-10-06 11:08:29,774 SSD.trainer INFO: iter: 000480, lr: 0.00049, total_loss: 6.070 (7.344), reg_loss: 2.200 (2.490), cls_loss: 3.871 (4.854), time: 0.426 (0.446), eta: 7:22:20
2020-10-06 11:08:34,031 SSD.trainer INFO: iter: 000490, lr: 0.00049, total_loss: 5.944 (7.316), reg_loss: 2.141 (2.483), cls_loss: 3.802 (4.833), time: 0.426 (0.445), eta: 7:21:51
2020-10-06 11:08:38,316 SSD.trainer INFO: iter: 000500, lr: 0.00050, total_loss: 5.883 (7.287), reg_loss: 2.162 (2.477), cls_loss: 3.721 (4.810), time: 0.429 (0.445), eta: 7:21:26
2020-10-06 11:08:42,350 SSD.trainer INFO: iter: 000510, lr: 0.00050, total_loss: 5.943 (7.261), reg_loss: 2.146 (2.470), cls_loss: 3.797 (4.790), time: 0.403 (0.444), eta: 7:20:33
